Numero_grafos,Poblacion_maxima,Cruce,Numero_iteraciones,Score,Tiempo_de_ejecuci�n
4,30,cruce_un_punto,200,1843.5,134.54743194580078
4,30,cruce_un_punto,500,1841.5,62.994001626968384
4,30,cruce_un_punto,1000,1851.5,201.7129144668579
4,30,cruce_dos_puntos,200,1806.0,48.58135652542114
4,30,cruce_dos_puntos,500,1828.5,32.737330198287964
4,30,cruce_dos_puntos,1000,1827.0,65.04360437393188
4,50,cruce_un_punto,200,1840.5,119.35827589035034
4,50,cruce_un_punto,500,1825.0,68.04486775398254
4,50,cruce_un_punto,1000,1856.5,242.3478136062622
4,50,cruce_dos_puntos,200,1829.0,84.58145833015442
4,50,cruce_dos_puntos,500,1813.5,68.1337661743164
4,50,cruce_dos_puntos,1000,1806.5,134.97248721122742
4,100,cruce_un_punto,200,1843.5,156.6624400615692
4,100,cruce_un_punto,500,1817.0,100.00554823875427
4,100,cruce_un_punto,1000,1819.0,104.25207376480103
4,100,cruce_dos_puntos,200,1835.0,86.84453916549683
4,100,cruce_dos_puntos,500,1819.5,136.41357803344727
4,100,cruce_dos_puntos,1000,1782.0,64.96397185325623
6,30,cruce_un_punto,200,2014.6666666666667,157.33164381980896
6,30,cruce_un_punto,500,2000.3333333333333,71.848623752594
6,30,cruce_un_punto,1000,1989.6666666666667,106.13039708137512
6,30,cruce_dos_puntos,200,1980.0,49.97359895706177
6,30,cruce_dos_puntos,500,1982.0,35.587865591049194
6,30,cruce_dos_puntos,1000,1979.6666666666667,104.3649411201477
6,50,cruce_un_punto,200,1994.3333333333333,151.08411860466003
6,50,cruce_un_punto,500,1963.0,34.87040066719055
6,50,cruce_un_punto,1000,1954.0,280.97821021080017
6,50,cruce_dos_puntos,200,1994.3333333333333,14.969271659851074
6,50,cruce_dos_puntos,500,1956.3333333333333,209.9741189479828
6,50,cruce_dos_puntos,1000,1944.6666666666667,140.29380631446838
6,100,cruce_un_punto,200,2023.6666666666667,156.86585521697998
6,100,cruce_un_punto,500,1981.3333333333333,245.953839302063
6,100,cruce_un_punto,1000,1958.0,179.72713446617126
6,100,cruce_dos_puntos,200,2013.0,86.90590167045593
6,100,cruce_dos_puntos,500,1974.0,38.6163113117218
6,100,cruce_dos_puntos,1000,1942.0,113.75002694129944
